#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
# If there is no available reference data, rmse_*_{val,trn} will print nan
  24700      1.36e+00    8.82e-01      5.65e-04    2.15e-03      1.20e-01    7.76e-02    1.3e-04
  24800      1.45e+00    8.26e-01      3.91e-04    1.94e-03      1.28e-01    7.26e-02    1.3e-04
  24900      1.31e+00    9.89e-02      1.82e-02    1.14e-02      1.15e-01    4.37e-03    1.3e-04
  25000      5.62e-01    2.75e-01      2.44e-03    1.11e-03      6.37e-02    3.11e-02    7.7e-05
  25100      3.17e-01    1.20e+00      1.47e-03    2.90e-03      3.59e-02    1.36e-01    7.7e-05
  25200      6.11e-01    2.66e-01      1.33e-03    9.21e-05      6.92e-02    3.01e-02    7.7e-05
  25300      5.25e-01    4.96e-01      8.00e-04    1.20e-03      5.95e-02    5.62e-02    7.7e-05
  25400      1.50e-01    2.57e-01      9.79e-04    9.48e-04      1.69e-02    2.91e-02    7.7e-05
  25500      1.20e-01    3.48e-01      1.67e-03    4.34e-04      1.35e-02    3.94e-02    7.7e-05
  25600      2.26e-01    4.63e-01      6.36e-04    1.05e-03      2.56e-02    5.25e-02    7.7e-05
  25700      6.15e-01    7.88e-01      1.53e-04    5.49e-04      6.97e-02    8.93e-02    7.7e-05
  25800      7.21e-01    2.19e-01      1.19e-04    6.75e-04      8.16e-02    2.48e-02    7.7e-05
  25900      9.66e-01    6.76e-01      2.25e-03    1.62e-03      1.09e-01    7.65e-02    7.7e-05
  26000      7.04e-01    3.71e-01      1.32e-03    2.60e-03      7.97e-02    4.20e-02    7.7e-05
  26100      9.20e-01    1.25e+00      2.27e-03    2.59e-03      1.04e-01    1.42e-01    7.7e-05
  26200      3.89e-01    9.42e-01      5.38e-03    3.61e-03      4.38e-02    1.07e-01    7.7e-05
  26300      7.14e-01    5.95e-01      6.60e-04    1.24e-03      8.08e-02    6.74e-02    7.7e-05
  26400      3.59e-01    4.88e-01      1.86e-03    2.28e-03      4.07e-02    5.52e-02    7.7e-05
  26500      3.62e-01    1.46e-01      6.73e-03    6.60e-03      4.06e-02    1.55e-02    7.7e-05
  26600      2.17e-01    7.12e-01      1.24e-04    8.05e-05      2.46e-02    8.07e-02    7.7e-05
  26700      3.16e-01    2.59e+00      1.13e-02    1.38e-02      3.45e-02    2.93e-01    7.7e-05
  26800      4.35e-01    7.21e-01      5.66e-03    5.84e-03      4.90e-02    8.16e-02    7.7e-05
  26900      7.23e-01    4.12e-01      4.28e-03    4.80e-03      8.18e-02    4.65e-02    7.7e-05
  27000      7.37e-01    8.54e-01      6.15e-03    5.64e-03      8.33e-02    9.67e-02    7.7e-05
  27100      9.22e-01    3.61e-01      3.56e-03    1.78e-03      1.04e-01    4.09e-02    7.7e-05
  27200      7.76e-01    6.05e-01      1.33e-02    1.10e-02      8.72e-02    6.79e-02    7.7e-05
  27300      8.32e-01    2.21e-01      1.14e-03    1.31e-03      9.43e-02    2.51e-02    7.7e-05
  27400      3.88e-01    2.25e-01      6.23e-03    8.54e-03      4.37e-02    2.44e-02    7.7e-05
  27500      5.59e-01    2.99e-01      1.95e-03    1.68e-03      6.33e-02    3.39e-02    7.7e-05
  27600      3.34e-01    8.06e-01      4.55e-03    4.72e-03      3.76e-02    9.12e-02    7.7e-05
  27700      2.11e-01    7.67e-01      2.30e-03    1.76e-03      2.38e-02    8.69e-02    7.7e-05
  27800      6.09e-01    7.28e-01      2.71e-03    1.33e-03      6.90e-02    8.24e-02    7.7e-05
  27900      2.15e-01    6.58e-01      2.47e-03    3.95e-03      2.43e-02    7.44e-02    7.7e-05
  28000      6.65e-01    3.72e-01      7.39e-03    6.62e-03      7.51e-02    4.18e-02    7.7e-05
  28100      3.83e-01    3.32e-01      7.42e-04    1.01e-03      4.33e-02    3.76e-02    7.7e-05
  28200      3.63e-01    6.10e-01      5.42e-03    4.98e-03      4.08e-02    6.90e-02    7.7e-05
  28300      6.60e-01    3.33e-01      5.28e-03    4.49e-03      7.46e-02    3.76e-02    7.7e-05
  28400      5.63e-01    6.40e-01      1.22e-03    2.68e-03      6.38e-02    7.25e-02    7.7e-05
  28500      1.01e+00    5.91e-01      6.10e-03    2.88e-03      1.14e-01    6.69e-02    7.7e-05
  28600      3.85e-01    5.16e-01      5.02e-04    3.23e-04      4.37e-02    5.84e-02    7.7e-05
  28700      6.24e-01    8.15e-01      1.03e-02    1.09e-02      7.01e-02    9.19e-02    7.7e-05
  28800      2.75e-01    2.34e-01      2.90e-03    2.63e-03      3.10e-02    2.65e-02    7.7e-05
  28900      7.49e-01    4.59e-01      5.56e-04    1.42e-03      8.48e-02    5.19e-02    7.7e-05
  29000      8.23e-01    1.40e+00      1.00e-02    6.81e-03      9.28e-02    1.58e-01    7.7e-05
  29100      2.79e-01    7.37e-01      4.98e-03    4.93e-03      3.13e-02    8.34e-02    7.7e-05
  29200      3.27e-01    6.73e-01      5.75e-03    6.74e-03      3.67e-02    7.60e-02    7.7e-05
  29300      6.66e-01    3.44e-01      1.96e-06    1.98e-03      7.54e-02    3.90e-02    7.7e-05
  29400      9.22e-01    2.16e-01      5.44e-03    5.96e-03      1.04e-01    2.39e-02    7.7e-05
  29500      1.02e+00    3.44e-01      5.72e-03    2.36e-03      1.16e-01    3.89e-02    7.7e-05
  29600      2.24e-01    4.26e-01      4.67e-03    4.56e-03      2.51e-02    4.82e-02    7.7e-05
  29700      4.17e-01    4.18e-01      2.98e-03    3.95e-03      4.72e-02    4.72e-02    7.7e-05
  29800      8.25e-01    2.73e-01      3.17e-04    1.07e-04      9.34e-02    3.09e-02    7.7e-05
  29900      4.95e-01    1.06e+00      5.59e-03    1.54e-03      5.59e-02    1.20e-01    7.7e-05
  30000      2.03e-01    5.29e-01      5.80e-03    6.50e-03      2.88e-02    7.68e-02    4.6e-05
  30100      1.73e-01    3.73e-01      5.93e-04    2.05e-04      2.52e-02    5.43e-02    4.6e-05
  30200      4.48e-01    1.69e-01      5.17e-03    2.14e-03      6.50e-02    2.45e-02    4.6e-05
  30300      3.43e-01    1.28e-01      1.26e-04    1.80e-03      5.00e-02    1.85e-02    4.6e-05
  30400      1.75e-01    1.98e-01      2.30e-03    2.16e-03      2.53e-02    2.87e-02    4.6e-05
  30500      4.37e-01    3.71e-01      2.84e-03    4.33e-03      6.37e-02    5.39e-02    4.6e-05
  30600      4.18e-01    1.66e-01      8.65e-04    1.57e-03      6.10e-02    2.41e-02    4.6e-05
  30700      3.47e-01    2.20e-01      2.32e-03    2.75e-03      5.05e-02    3.20e-02    4.6e-05
  30800      2.67e-01    6.21e-01      3.72e-03    4.35e-03      3.87e-02    9.04e-02    4.6e-05
  30900      7.13e-01    7.77e-01      2.25e-03    2.04e-04      1.04e-01    1.13e-01    4.6e-05
  31000      2.57e-01    6.01e-01      7.72e-03    6.58e-03      3.64e-02    8.73e-02    4.6e-05
  31100      2.25e-01    2.36e-01      2.23e-03    2.40e-03      3.27e-02    3.42e-02    4.6e-05
  31200      2.27e-01    7.22e-01      6.18e-03    6.74e-03      3.24e-02    1.05e-01    4.6e-05
  31300      6.67e-01    4.42e-01      3.27e-04    2.90e-03      9.73e-02    6.44e-02    4.6e-05
  31400      5.51e-01    5.16e-01      2.81e-03    4.40e-03      8.03e-02    7.50e-02    4.6e-05
  31500      7.18e-01    1.93e-01      7.30e-04    3.49e-03      1.05e-01    2.78e-02    4.6e-05
  31600      5.94e-01    4.69e-01      5.67e-03    4.61e-03      8.64e-02    6.82e-02    4.6e-05
  31700      4.78e-01    2.63e-01      1.20e-03    7.15e-04      6.96e-02    3.83e-02    4.6e-05
  31800      6.46e-01    6.52e-01      1.98e-03    2.64e-03      9.41e-02    9.50e-02    4.6e-05
  31900      2.78e-01    4.02e-01      1.74e-03    1.15e-03      4.05e-02    5.85e-02    4.6e-05
  32000      3.65e-01    8.92e-01      4.12e-03    1.27e-03      5.29e-02    1.30e-01    4.6e-05
  32100      8.47e-01    3.10e-01      2.75e-03    2.70e-03      1.23e-01    4.50e-02    4.6e-05
  32200      5.06e-01    2.53e-01      1.02e-03    6.79e-04      7.38e-02    3.69e-02    4.6e-05
  32300      2.36e-01    2.14e-01      3.04e-03    3.05e-03      3.42e-02    3.11e-02    4.6e-05
  32400      2.82e-01    1.90e-01      5.75e-03    5.72e-03      4.06e-02    2.70e-02    4.6e-05
  32500      2.74e-01    5.41e-01      6.55e-03    7.05e-03      3.93e-02    7.85e-02    4.6e-05
  32600      8.06e-01    2.41e-01      7.42e-04    5.17e-04      1.18e-01    3.51e-02    4.6e-05
  32700      1.11e-01    3.82e-01      2.70e-04    9.71e-04      1.62e-02    5.57e-02    4.6e-05
  32800      1.87e-01    4.84e-01      6.67e-03    4.92e-03      2.61e-02    7.03e-02    4.6e-05
  32900      5.57e-01    2.04e-01      1.11e-03    5.35e-04      8.12e-02    2.97e-02    4.6e-05
  33000      3.54e-01    5.32e-01      3.19e-03    3.10e-03      5.15e-02    7.75e-02    4.6e-05
  33100      5.23e-01    4.15e-01      5.24e-03    5.10e-03      7.61e-02    6.03e-02    4.6e-05
  33200      4.11e-01    2.84e-01      9.53e-04    2.07e-04      5.99e-02    4.15e-02    4.6e-05
  33300      3.31e-01    6.81e-01      1.51e-03    5.56e-03      4.82e-02    9.91e-02    4.6e-05
  33400      2.16e-01    1.51e-01      5.70e-04    5.74e-04      3.14e-02    2.20e-02    4.6e-05
  33500      3.79e-01    2.36e-01      8.94e-04    6.25e-04      5.52e-02    3.45e-02    4.6e-05
  33600      2.86e-01    3.25e-01      1.36e-03    1.58e-03      4.17e-02    4.74e-02    4.6e-05
  33700      5.52e-01    5.42e-01      2.43e-04    2.58e-03      8.04e-02    7.90e-02    4.6e-05
  33800      5.85e-01    5.09e-01      4.21e-03    5.49e-03      8.51e-02    7.39e-02    4.6e-05
  33900      4.25e-01    4.73e-01      7.92e-04    1.42e-03      6.20e-02    6.89e-02    4.6e-05
  34000      4.05e-01    4.66e-01      2.88e-03    2.90e-03      5.90e-02    6.79e-02    4.6e-05
  34100      2.91e-01    2.61e-01      2.96e-03    2.34e-03      4.24e-02    3.80e-02    4.6e-05
  34200      1.58e-01    3.64e-01      3.46e-03    3.87e-03      2.27e-02    5.28e-02    4.6e-05
  34300      2.96e-01    1.63e-01      2.12e-04    6.91e-04      4.32e-02    2.37e-02    4.6e-05
  34400      3.06e-01    5.83e-01      4.31e-03    2.51e-03      4.43e-02    8.49e-02    4.6e-05
  34500      2.98e-01    5.50e-01      1.56e-03    1.18e-03      4.34e-02    8.01e-02    4.6e-05
  34600      8.70e-01    2.75e-01      3.45e-03    4.20e-04      1.27e-01    4.01e-02    4.6e-05
  34700      6.44e-01    2.49e-01      8.12e-04    1.17e-03      9.39e-02    3.62e-02    4.6e-05
  34800      3.89e-01    3.44e-01      3.46e-03    2.76e-03      5.65e-02    5.00e-02    4.6e-05
  34900      1.66e-01    5.67e-01      5.33e-03    4.40e-03      2.34e-02    8.25e-02    4.6e-05
  35000      1.36e-01    3.31e-01      4.93e-03    3.09e-03      2.43e-02    6.18e-02    2.8e-05
  35100      1.47e-01    2.01e-01      4.39e-03    3.93e-03      2.68e-02    3.72e-02    2.8e-05
  35200      3.55e-01    1.27e-01      3.01e-03    3.11e-03      6.62e-02    2.32e-02    2.8e-05
  35300      3.67e-01    2.04e-01      1.37e-05    1.37e-04      6.86e-02    3.82e-02    2.8e-05
  35400      1.20e-01    3.97e-01      3.58e-04    9.16e-04      2.25e-02    7.42e-02    2.8e-05
  35500      1.85e-01    4.15e-01      4.18e-03    2.11e-03      3.41e-02    7.75e-02    2.8e-05
  35600      1.55e-01    4.97e-01      2.24e-03    1.34e-03      2.87e-02    9.30e-02    2.8e-05
  35700      2.07e-01    5.09e-01      6.10e-03    3.54e-03      3.77e-02    9.51e-02    2.8e-05
  35800      3.03e-01    1.44e-01      1.11e-03    2.43e-05      5.66e-02    2.70e-02    2.8e-05
  35900      4.51e-01    6.14e-01      2.03e-03    1.91e-04      8.43e-02    1.15e-01    2.8e-05
  36000      1.10e-01    1.28e-01      1.87e-03    1.35e-03      2.05e-02    2.39e-02    2.8e-05
  36100      1.86e-01    7.43e-02      4.79e-03    4.29e-03      3.40e-02    1.24e-02    2.8e-05
  36200      1.86e-01    4.76e-01      1.32e-03    2.68e-03      3.48e-02    8.90e-02    2.8e-05
  36300      2.08e-01    4.58e-01      2.74e-03    1.33e-04      3.87e-02    8.57e-02    2.8e-05
  36400      1.25e-01    3.84e-01      5.05e-03    5.05e-03      2.22e-02    7.14e-02    2.8e-05
  36500      4.99e-01    3.71e-01      2.99e-03    4.81e-03      9.32e-02    6.91e-02    2.8e-05
  36600      2.27e-01    1.91e-01      2.03e-03    1.14e-03      4.23e-02    3.57e-02    2.8e-05
  36700      1.45e-01    7.47e-02      5.47e-04    7.18e-04      2.72e-02    1.39e-02    2.8e-05
  36800      3.98e-01    1.90e-01      1.23e-03    1.13e-03      7.45e-02    3.55e-02    2.8e-05
  36900      1.49e-01    1.84e-01      8.93e-04    1.15e-03      2.78e-02    3.44e-02    2.8e-05
  37000      9.82e-02    3.29e-01      5.00e-03    2.77e-03      1.68e-02    6.15e-02    2.8e-05
  37100      3.33e-01    1.81e-01      3.80e-03    4.38e-03      6.21e-02    3.32e-02    2.8e-05
  37200      2.95e-01    1.96e-01      3.18e-03    3.01e-03      5.50e-02    3.64e-02    2.8e-05
  37300      3.08e-01    2.15e-01      6.33e-03    4.77e-03      5.69e-02    3.97e-02    2.8e-05
  37400      3.56e-01    6.13e-01      3.83e-03    2.11e-03      6.64e-02    1.15e-01    2.8e-05
  37500      2.18e-01    3.85e-01      2.71e-03    1.24e-03      4.06e-02    7.19e-02    2.8e-05
  37600      4.55e-01    2.09e-01      2.80e-05    1.13e-03      8.52e-02    3.91e-02    2.8e-05
  37700      2.68e-01    1.95e-01      6.93e-05    1.13e-04      5.01e-02    3.66e-02    2.8e-05
  37800      5.68e-01    4.26e-01      4.74e-03    2.59e-03      1.06e-01    7.96e-02    2.8e-05
  37900      4.00e-01    4.74e-01      1.05e-03    3.72e-04      7.49e-02    8.88e-02    2.8e-05
  38000      1.48e-01    1.17e-01      3.68e-03    4.04e-03      2.71e-02    2.10e-02    2.8e-05
  38100      3.34e-01    2.85e-01      2.80e-03    1.23e-03      6.24e-02    5.32e-02    2.8e-05
  38200      4.82e-01    6.62e-01      9.16e-03    5.27e-03      8.92e-02    1.24e-01    2.8e-05
  38300      2.81e-01    1.11e-01      1.33e-03    1.45e-03      5.25e-02    2.06e-02    2.8e-05
  38400      1.19e-01    1.42e-01      4.54e-04    7.91e-04      2.23e-02    2.65e-02    2.8e-05
  38500      4.28e-01    3.46e-01      6.33e-04    3.22e-04      8.00e-02    6.47e-02    2.8e-05
  38600      2.96e-01    5.18e-01      3.84e-03    1.24e-03      5.52e-02    9.69e-02    2.8e-05
  38700      3.08e-01    3.13e-01      8.95e-04    3.77e-04      5.76e-02    5.86e-02    2.8e-05
  38800      3.20e-01    1.51e-01      7.63e-03    7.56e-03      5.88e-02    2.60e-02    2.8e-05
  38900      1.87e-01    3.01e-01      8.03e-04    8.23e-06      3.50e-02    5.63e-02    2.8e-05
  39000      1.90e-01    2.77e-01      1.42e-03    1.79e-03      3.55e-02    5.17e-02    2.8e-05
  39100      3.73e-01    1.49e-01      5.65e-03    4.05e-03      6.92e-02    2.72e-02    2.8e-05
  39200      4.00e-01    2.63e-01      8.39e-04    3.98e-04      7.48e-02    4.93e-02    2.8e-05
  39300      3.83e-01    2.02e-01      2.00e-04    5.75e-04      7.16e-02    3.78e-02    2.8e-05
  39400      5.54e-01    3.70e-01      3.34e-03    3.30e-03      1.03e-01    6.90e-02    2.8e-05
  39500      2.43e-01    3.45e-02      1.24e-03    7.00e-04      4.54e-02    6.37e-03    2.8e-05
  39600      3.96e-01    2.02e-01      1.19e-03    9.29e-05      7.41e-02    3.78e-02    2.8e-05
  39700      4.52e-01    1.32e-01      3.76e-03    4.33e-03      8.44e-02    2.39e-02    2.8e-05
  39800      2.57e-01    5.34e-01      7.67e-04    2.01e-03      4.81e-02    9.98e-02    2.8e-05
  39900      2.50e-01    5.13e-01      3.01e-03    8.03e-04      4.66e-02    9.60e-02    2.8e-05
  40000      4.08e-01    4.13e-01      5.19e-03    2.98e-03      9.69e-02    9.84e-02    1.7e-05
  40100      1.48e-01    7.35e-02      2.66e-03    2.67e-03      3.49e-02    1.68e-02    1.7e-05
  40200      1.37e-01    3.29e-01      5.07e-03    2.99e-03      3.14e-02    7.83e-02    1.7e-05
  40300      5.54e-01    2.66e-01      3.67e-03    5.04e-04      1.32e-01    6.34e-02    1.7e-05
  40400      1.81e-01    4.21e-01      7.09e-04    1.10e-03      4.32e-02    1.01e-01    1.7e-05
  40500      5.35e-01    1.66e-01      7.20e-04    2.51e-03      1.28e-01    3.94e-02    1.7e-05
  40600      1.01e-01    2.54e-01      3.65e-03    2.82e-03      2.30e-02    6.05e-02    1.7e-05
  40700      2.98e-01    1.15e-01      1.30e-03    1.38e-03      7.12e-02    2.75e-02    1.7e-05
  40800      1.98e-01    1.03e-01      1.22e-03    6.45e-04      4.71e-02    2.47e-02    1.7e-05
  40900      4.17e-01    3.42e-01      2.29e-03    3.72e-04      9.97e-02    8.18e-02    1.7e-05
  41000      6.01e-01    1.03e-01      2.38e-03    4.36e-04      1.44e-01    2.46e-02    1.7e-05
  41100      2.61e-01    2.92e-01      1.32e-03    1.22e-03      6.23e-02    6.98e-02    1.7e-05
  41200      2.09e-01    9.17e-02      3.24e-03    4.41e-03      4.96e-02    2.03e-02    1.7e-05
  41300      4.48e-01    3.94e-01      4.25e-03    1.23e-04      1.07e-01    9.43e-02    1.7e-05
  41400      1.07e-01    2.32e-01      2.26e-03    1.13e-03      2.51e-02    5.54e-02    1.7e-05
  41500      3.17e-01    6.90e-02      2.95e-03    2.22e-03      7.55e-02    1.59e-02    1.7e-05
  41600      4.25e-01    4.06e-01      1.06e-03    1.91e-03      1.01e-01    9.70e-02    1.7e-05
  41700      2.66e-01    9.79e-02      4.02e-04    1.07e-03      6.36e-02    2.33e-02    1.7e-05
  41800      3.18e-01    1.62e-01      3.53e-03    4.49e-03      7.57e-02    3.78e-02    1.7e-05
  41900      2.56e-01    1.33e-01      1.99e-03    2.70e-03      6.10e-02    3.13e-02    1.7e-05
  42000      4.05e-01    5.83e-02      1.23e-03    7.64e-04      9.68e-02    1.38e-02    1.7e-05
  42100      6.97e-02    1.59e-01      1.80e-03    1.35e-03      1.63e-02    3.80e-02    1.7e-05
  42200      2.47e-01    1.61e-01      2.00e-03    2.48e-03      5.90e-02    3.82e-02    1.7e-05
  42300      1.16e-01    1.11e-01      4.17e-04    5.23e-04      2.77e-02    2.65e-02    1.7e-05
  42400      5.20e-01    4.89e-01      6.15e-04    7.90e-04      1.24e-01    1.17e-01    1.7e-05
  42500      3.09e-01    2.78e-01      2.04e-03    1.79e-03      7.37e-02    6.64e-02    1.7e-05
  42600      9.79e-02    2.86e-01      3.08e-03    4.22e-03      2.27e-02    6.79e-02    1.7e-05
  42700      1.93e-01    2.58e-01      1.50e-03    3.43e-03      4.61e-02    6.12e-02    1.7e-05
  42800      2.10e-01    3.82e-01      2.27e-03    1.33e-03      5.00e-02    9.13e-02    1.7e-05
  42900      1.78e-01    2.97e-01      3.64e-03    4.49e-03      4.20e-02    7.04e-02    1.7e-05
  43000      2.49e-01    2.51e-01      4.53e-03    3.59e-03      5.88e-02    5.97e-02    1.7e-05
  43100      1.37e-01    1.61e-01      4.95e-04    7.04e-04      3.27e-02    3.84e-02    1.7e-05
  43200      2.34e-01    1.11e-01      3.67e-03    2.53e-03      5.55e-02    2.61e-02    1.7e-05
  43300      1.37e-01    7.48e-02      5.40e-04    8.03e-04      3.28e-02    1.78e-02    1.7e-05
  43400      4.09e-01    3.77e-01      3.02e-03    1.80e-03      9.77e-02    9.00e-02    1.7e-05
  43500      1.02e-01    2.11e-01      2.63e-03    1.59e-03      2.39e-02    5.04e-02    1.7e-05
  43600      4.71e-01    1.50e-01      2.31e-03    1.80e-04      1.12e-01    3.59e-02    1.7e-05
  43700      2.94e-01    1.54e-01      2.05e-05    7.82e-04      7.02e-02    3.67e-02    1.7e-05
  43800      2.46e-01    4.29e-01      1.14e-04    1.39e-03      5.88e-02    1.02e-01    1.7e-05
  43900      2.99e-01    2.99e-01      9.30e-04    1.22e-03      7.15e-02    7.14e-02    1.7e-05
  44000      1.64e-01    4.53e-01      8.39e-04    2.64e-04      3.93e-02    1.08e-01    1.7e-05
  44100      2.42e-01    1.66e-01      2.39e-03    4.16e-03      5.76e-02    3.88e-02    1.7e-05
  44200      9.51e-02    4.67e-01      3.97e-03    3.79e-03      2.15e-02    1.11e-01    1.7e-05
  44300      4.95e-01    1.32e-01      1.20e-03    1.30e-03      1.18e-01    3.14e-02    1.7e-05
  44400      3.45e-01    2.51e-01      5.14e-03    3.53e-03      8.19e-02    5.96e-02    1.7e-05
  44500      4.59e-01    3.59e-01      4.67e-03    2.55e-03      1.09e-01    8.56e-02    1.7e-05
  44600      1.48e-01    1.22e-01      3.78e-03    3.98e-03      3.47e-02    2.82e-02    1.7e-05
  44700      4.24e-01    1.67e-01      3.39e-03    2.17e-03      1.01e-01    3.97e-02    1.7e-05
  44800      1.31e-01    3.00e-01      2.27e-05    2.66e-04      3.13e-02    7.17e-02    1.7e-05
  44900      1.46e-01    4.29e-01      1.65e-03    3.63e-03      3.47e-02    1.02e-01    1.7e-05
  45000      1.19e-01    3.03e-01      3.29e-03    1.01e-03      3.51e-02    9.18e-02    9.9e-06
  45100      2.56e-01    2.42e-01      2.72e-03    8.35e-04      7.73e-02    7.32e-02    9.9e-06
  45200      4.32e-01    9.49e-02      3.06e-03    1.26e-03      1.31e-01    2.86e-02    9.9e-06
  45300      7.50e-02    1.76e-01      3.68e-04    1.71e-04      2.27e-02    5.33e-02    9.9e-06
  45400      1.41e-01    1.26e-01      6.30e-04    2.18e-04      4.26e-02    3.83e-02    9.9e-06
  45500      2.12e-01    1.40e-01      1.28e-03    1.22e-03      6.42e-02    4.24e-02    9.9e-06
  45600      9.25e-02    3.51e-01      2.53e-04    3.09e-03      2.80e-02    1.06e-01    9.9e-06
  45700      1.00e-01    2.16e-01      1.52e-04    6.49e-04      3.04e-02    6.56e-02    9.9e-06
  45800      2.98e-01    1.11e-01      1.31e-03    4.46e-04      9.03e-02    3.36e-02    9.9e-06
  45900      2.25e-01    5.71e-02      2.28e-03    1.44e-03      6.81e-02    1.70e-02    9.9e-06
  46000      1.21e-01    4.42e-01      9.49e-04    5.73e-04      3.65e-02    1.34e-01    9.9e-06
  46100      1.20e-01    3.24e-01      3.08e-03    1.31e-03      3.56e-02    9.81e-02    9.9e-06
  46200      1.28e-01    3.38e-01      1.75e-03    2.35e-04      3.85e-02    1.02e-01    9.9e-06
  46300      3.47e-01    1.30e-01      2.10e-03    1.74e-04      1.05e-01    3.95e-02    9.9e-06
  46400      2.04e-01    8.31e-02      1.66e-03    2.39e-03      6.16e-02    2.45e-02    9.9e-06
  46500      1.32e-01    4.27e-01      2.91e-03    5.81e-03      3.94e-02    1.29e-01    9.9e-06
  46600      9.64e-02    1.17e-01      3.77e-03    4.02e-03      2.78e-02    3.41e-02    9.9e-06
  46700      1.24e-01    4.72e-02      1.66e-03    1.43e-03      3.74e-02    1.39e-02    9.9e-06
  46800      1.65e-01    3.15e-01      1.85e-03    9.70e-04      4.98e-02    9.56e-02    9.9e-06
  46900      7.11e-02    1.94e-01      1.56e-03    1.10e-03      2.12e-02    5.87e-02    9.9e-06
  47000      2.54e-01    2.11e-01      6.07e-04    1.90e-04      7.71e-02    6.40e-02    9.9e-06
  47100      1.62e-01    3.64e-01      1.29e-03    2.33e-03      4.91e-02    1.10e-01    9.9e-06
  47200      2.13e-01    4.08e-01      5.26e-03    1.97e-04      6.33e-02    1.24e-01    9.9e-06
  47300      3.02e-01    3.56e-01      2.68e-03    6.23e-04      9.14e-02    1.08e-01    9.9e-06
  47400      1.13e-01    2.88e-01      6.92e-04    9.54e-04      3.41e-02    8.72e-02    9.9e-06
  47500      2.58e-01    7.39e-02      4.84e-04    1.40e-03      7.83e-02    2.22e-02    9.9e-06
  47600      4.40e-02    2.63e-01      2.45e-03    2.52e-03      1.20e-02    7.95e-02    9.9e-06
  47700      1.81e-01    1.50e-01      2.21e-03    1.07e-03      5.47e-02    4.54e-02    9.9e-06
  47800      1.81e-01    3.36e-01      4.66e-04    3.06e-03      5.50e-02    1.02e-01    9.9e-06
  47900      2.50e-01    1.85e-01      7.67e-04    1.10e-03      7.56e-02    5.61e-02    9.9e-06
  48000      1.19e-01    2.04e-01      1.69e-03    1.18e-03      3.58e-02    6.17e-02    9.9e-06
  48100      3.42e-01    1.02e-01      2.30e-03    8.96e-04      1.03e-01    3.08e-02    9.9e-06
  48200      1.03e-01    9.38e-02      1.21e-03    1.15e-03      3.12e-02    2.83e-02    9.9e-06
  48300      2.15e-01    2.11e-01      6.27e-04    1.31e-03      6.50e-02    6.39e-02    9.9e-06
  48400      2.62e-01    3.85e-02      4.23e-04    5.62e-04      7.94e-02    1.16e-02    9.9e-06
  48500      2.02e-01    2.00e-01      4.73e-03    3.66e-03      6.03e-02    5.98e-02    9.9e-06
  48600      2.57e-01    4.77e-02      3.79e-05    2.13e-04      7.79e-02    1.44e-02    9.9e-06
  48700      1.07e-01    8.24e-02      4.27e-03    4.34e-03      3.07e-02    2.27e-02    9.9e-06
  48800      1.23e-01    1.06e-01      4.11e-04    4.66e-04      3.72e-02    3.21e-02    9.9e-06
  48900      1.89e-01    2.82e-01      2.15e-03    6.69e-05      5.72e-02    8.55e-02    9.9e-06
  49000      4.08e-02    1.47e-01      3.86e-05    7.09e-04      1.24e-02    4.46e-02    9.9e-06
  49100      3.53e-01    1.09e-01      3.67e-03    2.18e-03      1.07e-01    3.25e-02    9.9e-06
  49200      1.13e-01    1.86e-01      2.09e-05    8.33e-04      3.44e-02    5.63e-02    9.9e-06
  49300      1.76e-01    3.81e-01      3.25e-03    2.29e-03      5.27e-02    1.15e-01    9.9e-06
  49400      9.01e-02    2.24e-01      2.96e-03    9.38e-04      2.64e-02    6.80e-02    9.9e-06
  49500      4.15e-02    3.99e-01      1.83e-03    1.01e-03      1.18e-02    1.21e-01    9.9e-06
  49600      3.01e-01    2.18e-01      3.83e-03    3.15e-03      9.09e-02    6.56e-02    9.9e-06
  49700      8.29e-02    2.94e-01      1.06e-03    4.89e-04      2.50e-02    8.90e-02    9.9e-06
  49800      1.16e-01    2.80e-01      2.96e-04    7.81e-04      3.52e-02    8.49e-02    9.9e-06
  49900      1.09e-01    1.18e-01      6.00e-04    8.94e-04      3.31e-02    3.57e-02    9.9e-06
  50000      2.28e-01    2.63e-01      1.57e-03    7.43e-04      8.66e-02    1.00e-01    5.9e-06
  50100      1.41e-01    1.88e-01      1.36e-03    1.41e-03      5.36e-02    7.14e-02    5.9e-06
  50200      2.91e-01    3.30e-01      1.17e-03    8.12e-04      1.10e-01    1.25e-01    5.9e-06
  50300      2.49e-01    2.43e-01      1.09e-03    1.15e-03      9.46e-02    9.24e-02    5.9e-06
  50400      2.36e-01    2.33e-01      4.37e-04    9.01e-04      8.96e-02    8.87e-02    5.9e-06
  50500      1.64e-01    8.62e-02      3.00e-04    1.88e-04      6.23e-02    3.27e-02    5.9e-06
  50600      2.40e-01    6.74e-02      2.72e-03    2.81e-03      9.10e-02    2.42e-02    5.9e-06
  50700      1.37e-01    1.60e-01      5.15e-04    3.56e-04      5.21e-02    6.08e-02    5.9e-06
  50800      6.15e-02    2.22e-01      1.10e-04    1.82e-03      2.34e-02    8.43e-02    5.9e-06
