#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
# If there is no available reference data, rmse_*_{val,trn} will print nan
   5900      9.72e-01    2.06e+00      2.41e-02    2.66e-02      3.94e-02    8.40e-02    6.0e-04
   6000      2.74e+00    2.28e+00      4.29e-02    4.26e-02      1.12e-01    9.28e-02    6.0e-04
   6100      4.07e-01    3.07e+00      7.88e-03    6.38e-03      1.65e-02    1.26e-01    6.0e-04
   6200      1.53e+00    1.41e+00      1.95e-02    2.10e-02      6.23e-02    5.74e-02    6.0e-04
   6300      1.82e+00    1.01e-01      1.00e-02    1.34e-02      7.43e-02    3.02e-03    6.0e-04
   6400      2.71e+00    1.63e+00      3.49e-02    3.15e-02      1.10e-01    6.63e-02    6.0e-04
   6500      7.67e-01    2.06e+00      5.24e-02    4.97e-02      2.93e-02    8.34e-02    6.0e-04
   6600      1.14e+00    2.34e+00      2.08e-02    1.69e-02      4.63e-02    9.56e-02    6.0e-04
   6700      1.75e+00    1.38e+00      7.09e-02    6.98e-02      6.99e-02    5.46e-02    6.0e-04
   6800      9.49e-01    2.48e+00      6.37e-03    2.58e-03      3.88e-02    1.01e-01    6.0e-04
   6900      3.45e+00    1.29e+00      1.78e-02    1.80e-02      1.41e-01    5.24e-02    6.0e-04
   7000      2.34e+00    2.35e+00      5.40e-03    4.60e-03      9.58e-02    9.59e-02    6.0e-04
   7100      2.18e+00    1.95e+00      1.58e-03    4.34e-03      8.92e-02    7.97e-02    6.0e-04
   7200      2.74e+00    2.60e+00      1.25e-01    1.23e-01      1.09e-01    1.03e-01    6.0e-04
   7300      7.82e-01    2.68e+00      2.38e-03    3.41e-03      3.20e-02    1.10e-01    6.0e-04
   7400      3.54e+00    3.79e+00      7.17e-02    6.58e-02      1.44e-01    1.54e-01    6.0e-04
   7500      1.96e+00    3.22e+00      2.82e-03    9.56e-04      8.01e-02    1.32e-01    6.0e-04
   7600      2.52e+00    1.25e+00      5.90e-02    5.37e-02      1.02e-01    4.97e-02    6.0e-04
   7700      2.09e+00    1.84e+00      3.57e-02    3.52e-02      8.50e-02    7.49e-02    6.0e-04
   7800      1.69e+00    3.65e+00      1.29e-01    1.23e-01      6.36e-02    1.47e-01    6.0e-04
   7900      2.80e+00    3.30e+00      9.58e-03    1.02e-02      1.14e-01    1.35e-01    6.0e-04
   8000      3.05e+00    2.97e+00      2.87e-02    3.09e-02      1.25e-01    1.21e-01    6.0e-04
   8100      8.96e-01    2.62e+00      3.54e-02    3.33e-02      3.58e-02    1.07e-01    6.0e-04
   8200      4.11e+00    2.62e+00      2.25e-02    2.39e-02      1.68e-01    1.07e-01    6.0e-04
   8300      1.82e+00    1.40e+00      2.54e-02    2.62e-02      7.41e-02    5.69e-02    6.0e-04
   8400      1.64e+00    1.13e+00      1.02e-01    1.01e-01      6.34e-02    4.11e-02    6.0e-04
   8500      2.45e+00    1.60e+00      2.30e-02    2.30e-02      1.00e-01    6.50e-02    6.0e-04
   8600      7.89e-01    1.98e+00      6.12e-02    6.49e-02      2.96e-02    7.99e-02    6.0e-04
   8700      2.20e+00    4.42e-01      8.23e-03    9.61e-03      8.99e-02    1.79e-02    6.0e-04
   8800      7.38e-01    1.87e+00      2.87e-02    3.20e-02      2.95e-02    7.59e-02    6.0e-04
   8900      1.20e+00    1.97e+00      2.45e-02    2.78e-02      4.89e-02    8.05e-02    6.0e-04
   9000      4.30e-01    9.24e-01      5.06e-02    5.00e-02      1.40e-02    3.63e-02    6.0e-04
   9100      6.83e+00    3.98e+00      5.45e-02    4.13e-02      2.79e-01    1.62e-01    6.0e-04
